variant,variant_slug,layer_index,layer_name,activation_mean,activation_mean_std_over_batches,activation_std,activation_std_std_over_batches,zero_activation_ratio,zero_activation_ratio_std_over_batches
PlainNet-HeInit,plainnet_he_init,35,stage2.8.relu1,0.007729973178356886,0.00021973115971085644,0.013458957336843014,0.0004939014619386304,0.48531532287597656,0.00022772496635048813
PlainNet-HeInit,plainnet_he_init,36,stage2.8.relu2,0.0056619089096784595,0.00016154853654286246,0.010118437185883521,0.00036517712356385,0.5389694213867188,0.0007482987398803712
PlainNet-HeInit,plainnet_he_init,37,stage3.0.relu1,0.003915429953485728,0.0001082726505911369,0.006891842186450958,0.00026201248105075175,0.5046791076660156,0.0006197895851754784
PlainNet-HeInit,plainnet_he_init,38,stage3.0.relu2,0.004027976747602224,0.00011158030179394869,0.006482040882110596,0.0002508666391144979,0.4472511291503906,0.00019584523502582394
PlainNet-HeInit,plainnet_he_init,39,stage3.1.relu1,0.0035205189604312183,0.00010108214909251869,0.006157172750681639,0.0002472221635796189,0.5088096618652344,0.0005641296278089418
PlainNet-HeInit,plainnet_he_init,40,stage3.1.relu2,0.002501083444803953,6.974769637125812e-05,0.004849301557987929,0.00018892652580939143,0.5697456359863281,0.0004836193697279485
PlainNet-HeInit,plainnet_he_init,41,stage3.2.relu1,0.0025980607606470585,7.596916585589493e-05,0.004194057639688253,0.00017173181548923625,0.48940887451171877,0.0007137648239011832
PlainNet-HeInit,plainnet_he_init,42,stage3.2.relu2,0.002314657671377063,6.870016567897274e-05,0.0037774670869112014,0.00015869434057854908,0.49518585205078125,0.0002852924328742378
PlainNet-HeInit,plainnet_he_init,43,stage3.3.relu1,0.002228624373674393,6.554497578221417e-05,0.004042914928868413,0.00016997641619710045,0.5162651062011718,0.00046071310359853607
PlainNet-HeInit,plainnet_he_init,44,stage3.3.relu2,0.002120477566495538,6.247028634744616e-05,0.0035145165864378216,0.00014998141310344692,0.4883766174316406,0.0005136515011391222
PlainNet-HeInit,plainnet_he_init,45,stage3.4.relu1,0.00241656475700438,7.386077278521386e-05,0.0038592917378991844,0.00017062446154385665,0.4425514221191406,0.000384186795822964
PlainNet-HeInit,plainnet_he_init,46,stage3.4.relu2,0.0018125243717804552,5.5280100028132735e-05,0.0031344345305114986,0.00013862132782236868,0.5222122192382812,0.0002565836955061022
